claim_number,email,phone_number,claim_date,cost
D95150,AlbertS9@gmail.com,+1 (164) 914-9912,2018-01-20,732931
F479741,AnthonyB4@gmail.com,(591) 948-5179,2018-07-26,277577
Y435469,EleanorH9@gmail.com,(937) 597-5939,2018-07-24,0
F428631,KathleenG2@gmail.com,(260) 708-6290,2018-08-18,0
S270277,RhondaC3@gmail.com,(806) 367-7349,2018-11-14,204086
W24353,AustinG9@gmail.com,(274) 331-2158,2018-06-05,224063
Q256004,RobertT9@gmail.com,(858) 760-8317,2018-08-02,19807
Q336177,JoeC1@gmail.com,+1 (990) 933-7670,2018-04-18,538384
E128490,KatherineJ5@gmail.com,(840) 315-6681,2018-04-27,0
G55008,MaryP6@gmail.com,(849) 103-2854,2018-11-16,176821
N436170,RobertC5@gmail.com,(927) 345-3859,2018-08-11,776711
R340980,MarthaC3@gmail.com,(260) 188-0104,2018-02-21,801626
F231459,GaryB4@gmail.com,(574) 697-3107,2018-03-28,0
B368211,CoreyM7@gmail.com,+1 (990) 647-7851,2018-04-05,657683
R455160,MinnieA4@gmail.com,(349) 928-4707,2018-07-17,97534
Y462342,ThomasM7@gmail.com,(691) 696-1325,2018-09-09,0
N320461,HowardR0@gmail.com,(365) 682-7173,2018-03-16,811660
X160321,GaryL0@gmail.com,(491) 313-5244,2018-08-13,653038
U53478,MercedesL7,(163) 176-4621,2018-12-25,0
D340212,NickolasJ0@gmail.com,+1 (130) 564-4800,2018-12-09,0
B60720,BennieC2@gmail.com,(999) 363-0883,2018-07-23,653060
Y402727,NicoleD8@gmail.com,(905) 216-2368,2018-02-09,663580
I284169,RichardL6@gmail.com,(534) 875-4905,2018-09-11,412534
L98711,MaryR8@gmail.com,(345) 355-8636,2018-09-02,809922
Z127718,MarkC6@gmail.com,(206) 248-8545,2018-01-15,0
O499978,JoseC6@gmail.com,(668) 575-9693,2018-02-23,379449
S463236,MarthaM1@gmail.com,(177) 813-4052,2018-07-03,208745
Q398364,JohnT1@gmail.com,+1 (758) 211-2392,2018-05-27,834823
O177069,BarbaraC7@gmail.com,+1 (493) 791-4401,2018-08-06,0
H239376,HettieG2@gmail.com,(919) 605-6903,2018-08-21,936199
Y312793,TanjaC3@gmail.com,+1 (171) 113-5511,2018-06-07,0
R147275,BarryM2@gmail.com,+1 (577) 908-8624,2018-05-17,721126
G336041,JoeyK5@gmail.com,(816) 446-4725,2018-05-07,269780
J25252,WayneR0@gmail.com,(190) 434-1128,2018-09-29,748615
O354819,YolandaJ5@gmail.com,(707) 328-9459,2018-08-22,0
S223345,CurtisP2@gmail.com,(701) 005-0878,2018-10-28,0
J349483,TheodoreL6@gmail.com,(593) 930-4587,2018-10-30,0
T351314,RobertJ0@gmail.com,+1 (115) 692-3925,2018-06-06,568347
J421470,NatalieL9@gmail.com,(512) 726-3153,2018-03-14,872429
X362511,LelandM8@gmail.com,(859) 492-1471,2018-04-15,0
I84093,TinaA5@gmail.com,(627) 863-3929,2018-05-09,579320
U107911,LindaE8@gmail.com,(731) 299-0547,2018-06-17,403124
T384714,MarkP6@gmail.com,(395) 652-3033,2018-05-06,0
G414305,GoldieJ9@gmail.com,(360) 042-8287,2018-01-02,411612
Y418887,KeithS2@gmail.com,+1 (551) 419-5989,2018-04-19,0
U43300,GraceV4@gmail.com,+1 (264) 818-0557,2018-08-22,26977
M74410,MelvinT8@gmail.com,(284) 526-6933,2018-04-22,901791
W91960,ShirleyD9@gmail.com,(660) 531-2586,2018-06-27,939250
Q144159,AlexandraP4@gmail.com,(335) 220-8190,2018-09-19,376102
V11946,KarenD8@gmail.com,(727) 284-3048,2018-01-26,333020
Z204603,RosarioA9@gmail.com,(764) 110-4164,2018-11-10,971542
B144540,MatthewM7@gmail.com,+1 (355) 704-6450,2018-09-05,517693
V265342,DianaL9@gmail.com,(221) 912-4531,2018-06-14,713265
B320337,GloriaB6@gmail.com,(505) 200-0180,2018-03-23,0
T169008,GenevieveT3@gmail.com,(198) 034-5079,2018-11-13,181417
R51180,JeanJ0@gmail.com,(372) 687-1158,2018-12-13,716208
A197025,AllenN7@gmail.com,(875) 560-0466,2018-02-21,739508
A245053,MaryM4@gmail.com,+1 (909) 284-3618,2018-03-06,538648
Z55612,CharlesT8@gmail.com,(564) 392-9043,2018-10-23,0
C126021,NancyC7@gmail.com,(584) 928-3153,2018-12-09,435502
M7032,LewisF8@gmail.com,(521) 534-9144,2018-03-17,0
V304957,JustinF0@gmail.com,(331) 857-9827,2018-09-17,626652
K129470,MichaelR0@gmail.com,(370) 981-4479,2018-07-11,0
S367625,JoyceT0@gmail.com,(511) 676-7187,2018-01-28,0
A153224,RichardS7@gmail.com,+1 (389) 588-5143,2018-05-19,264193
B52629,JamesJ7@gmail.com,(854) 362-7482,2018-11-06,0
L252570,YolandaN3@gmail.com,(935) 434-6901,2018-03-28,731900
E7122,SeanD2@gmail.com,(853) 572-3075,2018-04-09,0
D20491,AndreaB1@gmail.com,(922) 770-7076,2018-03-15,667041
Z369612,LillieE6@gmail.com,(585) 323-2779,2018-12-31,739789
V269904,VirginiaD5@gmail.com,(798) 884-9576,2018-04-21,0
Q14624,MelanieA9@gmail.com,(527) 428-2915,2018-07-08,459025
H374209,CharlesR6@gmail.com,(826) 750-6621,2018-06-07,843844
A251792,RebeccaB2@gmail.com,(226) 645-1245,2018-01-06,0
P345093,JaredJ8@gmail.com,(912) 147-7886,2018-12-20,437388
T459191,MarkD4@gmail.com,(829) 002-8834,2018-06-05,0
C456988,LeishaJ0@gmail.com,(648) 045-4828,2018-04-11,224514
D176962,ErnestineR2@gmail.com,(298) 275-4101,2018-06-24,0
D281602,ChristopherS8@gmail.com,(372) 379-8099,2018-12-07,568041
G221902,DavidB9@gmail.com,+1 (487) 321-2454,2018-02-11,0
R51387,RobertaN8@gmail.com,(410) 904-1039,2018-06-23,0
U339048,KathlynS6@gmail.com,(181) 075-3454,2018-05-15,0
Q274325,DawnD7@gmail.com,(301) 083-6187,2018-08-12,999999999999
R155501,RoyG7@gmail.com,(356) 677-2914,2018-11-07,629352
L415619,MaryV9@gmail.com,(264) 319-2199,2018-03-26,486382
M446634,HermanE6@gmail.com,+1 (186) 459-5025,2018-11-02,0
C153744,EarlD6@gmail.com,(178) 406-2736,2018-09-09,81849
W369373,MarkR0@gmail.com,(313) 046-8582,2018-11-23,308351
N55517,HarrietE5@gmail.com,(228) 206-1615,2018-09-24,763691
U227968,RondaS4@gmail.com,(115) 973-7622,2018-07-27,0
C224233,DarleneM9@gmail.com,(355) 925-1315,2018-10-09,149027
T242111,JosephJ5@gmail.com,(680) 002-4760,2018-09-27,682789
X174601,BarryP1@gmail.com,(722) 497-6406,2018-11-30,395376
M182459,ToniD8@gmail.com,(450) 851-8146,2018-09-15,783805
W168616,StephanieB3@gmail.com,(626) 901-3868,2018-02-22,440076
Y146416,JonathanG1@gmail.com,(399) 149-2314,2018-05-18,596885
K452664,KatharynK1@gmail.com,(874) 951-7472,2018-02-05,458242
J217908,DanielC2@gmail.com,(444) 187-4054,2018-10-23,851953
Z230979,JeffreyM3@gmail.com,(780) 679-8548,2018-11-20,141075
P50335,JamesE1@gmail.com,(528) 112-6665,2018-05-15,851411
A270207,BarbaraC8@gmail.com,(109) 556-0961,2018-05-09,358779
K375683,TimothyT8@gmail.com,(506) 602-8517,2018-08-26,613634
N426980,WillaR0@gmail.com,(640) 751-7010,2018-06-20,329986
O382164,ChrisK0@gmail.com,(235) 954-2053,2018-01-16,0
V28502,BrendaE1@gmail.com,(790) 617-4403,2018-09-11,35703
I387142,AliceM9@gmail.com,(916) 150-9692,2018-09-18,0
R434425,BeverlyM5@gmail.com,(151) 982-0448,2018-09-27,0
M314341,MargueriteM0@gmail.com,(912) 154-5795,2018-10-26,0
J305798,MichaelD7@gmail.com,(173) 382-3559,2018-07-21,489630
P115393,PhyllisJ1@gmail.com,(965) 289-7927,2018-04-25,826918
X161079,JenniferJ9@gmail.com,(244) 476-8194,2018-12-10,869565
O396869,AlethaC8@gmail.com,(590) 464-0361,2018-07-24,864927
I28476,SonyaS2@gmail.com,+1 (774) 745-5773,2018-03-24,0
W176787,TylerJ6@gmail.com,(203) 739-4432,2018-07-13,257702
P107908,MaryS2@gmail.com,(721) 745-9005,2018-11-03,706436
A401775,WilliamW8@gmail.com,(441) 472-2072,2018-12-24,69101
O307779,VelmaD6@gmail.com,(783) 526-8056,2018-10-20,0
P344845,KarriM0@gmail.com,(380) 717-5840,2018-01-03,899482
V371035,DanielR3@gmail.com,(946) 186-2776,2018-07-27,0
A444513,DavidC9@gmail.com,(799) 086-0807,2018-05-30,640455
P97324,EdithV7@gmail.com,(514) 636-2923,2018-02-04,997735
X163546,BelindaL6@gmail.com,(913) 572-7387,2018-04-08,94120
Y69286,GlenG1@gmail.com,+1 (438) 240-4169,2018-01-25,0
M337483,JeanP9@gmail.com,(350) 629-8666,2018-05-20,408726
P380851,GeorgeO0@gmail.com,(736) 361-4488,2018-04-16,0
Y76600,MitchellB0@gmail.com,+1 (816) 698-5042,2018-09-30,794193
J278567,ValerieG7@gmail.com,(178) 688-7241,2018-05-03,0
M453811,GeraldE2@gmail.com,(500) 162-8412,2018-10-01,227050
D356885,GaryC7@gmail.com,(968) 677-4354,2018-10-28,0
C230672,LarryJ0@gmail.com,(977) 159-5731,2018-03-24,67180
Y439791,SybilW5@gmail.com,(782) 391-1832,2018-05-29,582663
R106097,JonathanJ8@gmail.com,(441) 808-6421,2018-11-05,574339
O224105,AndrewJ2,(376) 128-2792,2018-12-29,690544
K296817,JohnL7,(126) 655-3976,2018-11-11,0
Z108102,JacquelinJ1@gmail.com,(175) 611-2043,2018-02-28,0
N392260,HassieR4@gmail.com,(669) 334-9924,2018-08-12,0
U383313,LatashaH5@gmail.com,+1 (274) 699-5152,2018-09-09,373693
I376812,GilbertA7@gmail.com,(921) 068-4545,2018-11-21,0
Q37235,ThomasD5@gmail.com,(730) 586-2351,2018-05-11,610536
S280781,GregoryD3@gmail.com,(581) 402-4814,2018-12-25,595686
N206335,RoseJ1@gmail.com,(638) 795-4778,2018-12-02,227216
P98603,MariaK7@gmail.com,(536) 058-1637,2018-10-31,0
B439305,CharlesR9@gmail.com,(336) 344-8852,2018-04-04,0
C179625,KennethC1@gmail.com,(876) 948-6814,2018-11-06,138606
I452241,KeithE3@gmail.com,(381) 093-0374,2018-05-08,885229
B494071,ThomasM9@gmail.com,+1 (910) 711-9308,2018-10-19,714669
S382477,HelenB1,(679) 513-7169,2018-11-08,463635
P498913,NathanaelO0@gmail.com,+1 (429) 386-5281,2018-06-07,796045
Q9313,KennethJ1@gmail.com,(914) 960-0079,2018-05-13,172169
Z213463,RobertJ0@gmail.com,(824) 246-0842,2018-06-13,424004
O329490,AmaliaJ5@gmail.com,(127) 013-0123,2018-02-20,329500
T169152,HollisJ0@gmail.com,(128) 369-9067,2018-05-19,0
E165725,GraceJ0@gmail.com,(598) 445-5361,2018-01-20,341051
,MargaretB9@gmail.com,(890) 702-3871,2018-05-19,0
H414750,IonaC1@gmail.com,(358) 594-7025,2018-08-27,97156
P163437,ThomasM9@gmail.com,(139) 023-6143,2018-04-26,326089
M64964,ChristopherD8@gmail.com,(336) 952-4123,2018-09-11,0
Q198389,CurtisP6@gmail.com,(855) 956-6375,2018-12-02,833652
T151206,JamesD1@gmail.com,(938) 572-1992,2018-11-23,0
Y483043,BrentM9,(874) 850-6530,2018-02-20,0
Y444139,RolandE8@gmail.com,(559) 164-7677,2018-02-16,326985
G86060,JohnC8@gmail.com,(376) 772-3627,2018-06-12,637414
B258897,WilmerR8@gmail.com,(240) 846-4569,2018-05-03,688544
Y428562,ShaneK4@gmail.com,(933) 300-5802,2018-02-27,609871
R144508,DonnyK9@gmail.com,(125) 382-2699,2018-06-16,622533
L412861,AnnaB8@gmail.com,(985) 554-7044,2018-04-20,634453
M173335,JimW7@gmail.com,(918) 609-2570,2018-07-10,0
T230206,RichardR5@gmail.com,(632) 429-1671,2018-11-11,0
L329357,SharonD3@gmail.com,(872) 240-6975,2018-09-30,0
K223209,CharlesJ7@gmail.com,(740) 375-1553,2018-02-22,720831
N333042,IolaB4@gmail.com,(975) 082-8879,2018-06-17,184147
G363314,LesleyJ5@gmail.com,(716) 825-4028,2018-08-31,521199
S346749,AmandaJ7@gmail.com,+1 (443) 999-9010,2018-10-14,0
J274653,LorraineJ6@gmail.com,(256) 730-7574,2018-02-14,242580
M346367,JoshuaF1@gmail.com,(601) 660-6751,2018-05-16,0
H57985,MaryE6@gmail.com,(796) 208-4187,2018-09-21,0
A234291,DonnaM9@gmail.com,(599) 828-0112,2018-06-30,340369
N320574,AlfonsoT3@gmail.com,(624) 454-4833,2018-12-06,0
U292660,GeorgiaT4@gmail.com,(356) 381-8672,2018-03-01,478219
F204849,RandyJ3@gmail.com,(692) 612-5313,2018-02-28,712372
H302417,AnnC2@gmail.com,(436) 439-2102,2018-12-17,908180
H85787,MichaelA9@gmail.com,(495) 457-7903,2018-05-04,0
T328161,DonnaL9,(359) 560-8462,2018-09-03,871646
E56542,MatthewK3@gmail.com,(634) 528-2684,2018-12-02,315358
V88620,DavidT5@gmail.com,(458) 785-2370,2018-09-04,7810
J72270,DanicaM7@gmail.com,(562) 310-3106,2018-09-08,0
Y384786,ClintJ1@gmail.com,+1 (778) 084-4622,2018-11-20,392264
W205891,EarlA7@gmail.com,(576) 590-1705,2018-12-07,47108
W376112,PatriciaE6@gmail.com,(527) 506-8371,2018-01-10,943995
N391495,ThomasL4@gmail.com,(971) 260-9998,2018-03-16,956461
H346673,YolandaM9@gmail.com,(367) 744-2824,2018-06-25,235595
H34870,GeoffreyT6@gmail.com,(545) 868-4728,2018-04-14,549152
P33297,YolandaD9@gmail.com,(167) 862-5899,2018-02-04,788604
W411680,KarrieT7@gmail.com,(452) 464-7018,2018-08-30,0
L128700,DavidK4@gmail.com,(932) 321-6485,2018-12-20,655741
X410807,DebbieB8@gmail.com,(640) 551-7876,2018-06-29,440418
P363188,LeoneM6@gmail.com,+1 (671) 543-5532,2018-12-09,0
G161440,MimiV3@gmail.com,(138) 117-9466,2018-04-28,0
Y154766,HunterR7@gmail.com,(948) 579-9136,2018-06-21,32924
J440833,JimF3@gmail.com,(540) 167-3353,2018-11-30,0
Z112599,ElsaD6@gmail.com,(638) 353-5310,2018-03-16,223638
D348113,ReneeD5@gmail.com,(967) 838-9872,2018-07-12,0
I231664,KennethM2@gmail.com,(236) 506-2153,2018-09-24,0
U12727,DebbieK8@gmail.com,(255) 372-1536,2018-03-25,253444
I485032,RosieR3@gmail.com,(836) 369-3342,2018-12-05,60465
P362646,StephenA8@gmail.com,(321) 402-9064,2018-12-08,419732
E120532,MichaelR6@gmail.com,+1 (618) 412-9943,2018-01-25,102765
L433089,PatriciaA0@gmail.com,(531) 893-3900,2018-10-10,194093
G220608,ThomasM8@gmail.com,(139) 651-1099,2018-07-29,405056
G441379,JanM5@gmail.com,(359) 544-2151,2018-08-02,925363
F241621,RandallR9@gmail.com,(250) 976-4442,2018-04-04,0
P121180,MelbaR9@gmail.com,+1 (532) 309-4281,2018-11-13,392487
I3208,HarryG4@gmail.com,(667) 053-0881,2018-11-01,0
